ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-5c2e35,A-034368,2023-01-11 00:00:00,2023-01-12 09:00:00,33,urgent,123,,FALSE
T-61fc87,A-034368,2023-01-13 00:00:00,2023-01-15 17:00:00,65,medium,127,3,FALSE
T-6858fa,A-034368,2024-05-04 00:00:00,2024-05-05 00:00:00,24,medium,51,,FALSE
T-a7ce4a,A-034368,2023-07-01 00:00:00,2023-07-01 19:00:00,19,high,124,,FALSE
T-02ebc4,A-0354fe,2023-01-20 00:00:00,2023-01-20 02:00:00,2,low,78,5,FALSE
T-0854a1,A-0354fe,2024-04-11 00:00:00,2024-04-13 14:00:00,62,high,78,,FALSE
T-12b388,A-0354fe,2024-11-07 00:00:00,2024-11-07 15:00:00,15,medium,14,,FALSE
T-abd0a8,A-0354fe,2024-11-30 00:00:00,2024-11-30 01:00:00,1,high,107,3,FALSE
T-256979,A-038089,2023-04-02 00:00:00,2023-04-02 09:00:00,9,low,96,,FALSE
T-288bdf,A-038089,2023-12-21 00:00:00,2023-12-22 15:00:00,39,high,102,5,FALSE
T-374bd7,A-038089,2023-05-14 00:00:00,2023-05-14 17:00:00,17,low,36,,FALSE
T-3a9f01,A-038089,2023-10-10 00:00:00,2023-10-12 13:00:00,61,urgent,32,3,FALSE
T-5b2010,A-038089,2024-04-18 00:00:00,2024-04-18 14:00:00,14,medium,149,3,FALSE
T-74d3f4,A-038089,2024-05-25 00:00:00,2024-05-26 17:00:00,41,low,102,,FALSE
T-512dec,A-0532a9,2023-12-16 00:00:00,2023-12-17 01:00:00,25,medium,127,,FALSE
T-52fd00,A-0532a9,2023-01-29 00:00:00,2023-01-29 07:00:00,7,medium,49,,FALSE
T-5bca42,A-0532a9,2023-02-11 00:00:00,2023-02-11 18:00:00,18,low,62,,FALSE
T-ae53a2,A-0532a9,2024-01-29 00:00:00,2024-01-31 11:00:00,59,low,165,,FALSE
T-b6eb59,A-0532a9,2024-09-07 00:00:00,2024-09-07 17:00:00,17,medium,4,,FALSE
T-d1973c,A-0532a9,2023-03-11 00:00:00,2023-03-13 07:00:00,55,low,88,,FALSE
T-d5f2dd,A-0532a9,2023-06-30 00:00:00,2023-07-01 14:00:00,38,high,86,3,FALSE
T-dc51a8,A-0532a9,2024-11-24 00:00:00,2024-11-25 03:00:00,27,low,6,,FALSE
T-633fa7,A-054577,2023-09-01 00:00:00,2023-09-02 22:00:00,46,urgent,70,4,FALSE
T-1d7cfb,A-05d3b3,2024-08-11 00:00:00,2024-08-11 15:00:00,15,urgent,44,5,FALSE
T-2fdfe5,A-05d3b3,2024-05-14 00:00:00,2024-05-15 15:00:00,39,low,114,4,FALSE
T-a61271,A-05d3b3,2024-11-03 00:00:00,2024-11-05 16:00:00,64,urgent,3,,FALSE
T-c16052,A-05d3b3,2023-09-14 00:00:00,2023-09-15 22:00:00,46,high,70,,FALSE
T-d5bbc8,A-05d3b3,2023-08-13 00:00:00,2023-08-13 11:00:00,11,medium,19,,FALSE
T-ed85f6,A-05d3b3,2023-08-23 00:00:00,2023-08-23 14:00:00,14,medium,40,4,FALSE
T-4e7816,A-05f0e5,2024-10-03 00:00:00,2024-10-04 12:00:00,36,low,108,,FALSE
T-79d436,A-05f0e5,2023-01-25 00:00:00,2023-01-25 20:00:00,20,high,177,4,FALSE
T-b3f296,A-05f0e5,2023-10-04 00:00:00,2023-10-04 11:00:00,11,high,91,4,FALSE
T-db8ee9,A-05f0e5,2024-06-06 00:00:00,2024-06-06 13:00:00,13,medium,58,4,FALSE
T-2b5ff8,A-0651a4,2024-09-12 00:00:00,2024-09-14 18:00:00,66,high,32,5,FALSE
T-317894,A-0651a4,2024-04-20 00:00:00,2024-04-20 01:00:00,1,high,135,3,FALSE
T-cd31c2,A-0651a4,2023-07-21 00:00:00,2023-07-22 23:00:00,47,high,9,,FALSE
T-fa10d0,A-0651a4,2023-09-11 00:00:00,2023-09-11 03:00:00,3,urgent,18,,FALSE
T-07968b,A-068fc6,2023-04-04 00:00:00,2023-04-06 14:00:00,62,low,123,,FALSE
T-580c71,A-068fc6,2023-04-15 00:00:00,2023-04-15 09:00:00,9,urgent,156,,FALSE
T-762081,A-068fc6,2023-01-24 00:00:00,2023-01-25 19:00:00,43,urgent,118,5,FALSE
T-9ac5fe,A-068fc6,2024-04-25 00:00:00,2024-04-26 10:00:00,34,urgent,106,4,FALSE
T-f4724a,A-068fc6,2023-09-21 00:00:00,2023-09-22 22:00:00,46,urgent,104,4,FALSE
T-a01218,A-075038,2023-03-18 00:00:00,2023-03-20 02:00:00,50,high,104,3,FALSE
T-c195e0,A-075038,2024-10-15 00:00:00,2024-10-16 13:00:00,37,high,4,3,FALSE
T-46e5ce,A-089363,2024-09-06 00:00:00,2024-09-08 11:00:00,59,high,46,4,FALSE
T-76c486,A-089363,2023-11-06 00:00:00,2023-11-07 01:00:00,25,low,153,3,FALSE
T-cfec7f,A-089363,2023-08-22 00:00:00,2023-08-22 21:00:00,21,medium,75,4,FALSE
T-4db443,A-08e34e,2024-03-29 00:00:00,2024-03-30 07:00:00,31,low,15,,FALSE
T-b43464,A-08e34e,2024-07-15 00:00:00,2024-07-17 20:00:00,68,high,67,3,FALSE
T-fd84fa,A-08e34e,2023-03-16 00:00:00,2023-03-17 06:00:00,30,medium,170,3,FALSE
T-236dda,A-09316c,2024-06-28 00:00:00,2024-06-30 04:00:00,52,high,110,5,TRUE
T-2795e4,A-09316c,2024-12-20 00:00:00,2024-12-22 21:00:00,69,low,81,3,FALSE
T-4bfec4,A-09316c,2024-11-12 00:00:00,2024-11-13 16:00:00,40,low,105,3,FALSE
T-ed091b,A-09316c,2023-08-12 00:00:00,2023-08-14 10:00:00,58,medium,129,4,FALSE
T-574fcf,A-09540c,2023-03-25 00:00:00,2023-03-26 03:00:00,27,medium,106,5,FALSE
T-df171c,A-09540c,2024-02-24 00:00:00,2024-02-25 05:00:00,29,high,72,4,FALSE
T-3ef55f,A-098560,2023-09-02 00:00:00,2023-09-02 01:00:00,1,high,174,3,TRUE
T-a3288b,A-098560,2024-12-28 00:00:00,2024-12-30 07:00:00,55,low,26,3,FALSE
T-776916,A-0a282f,2023-06-12 00:00:00,2023-06-14 17:00:00,65,medium,12,5,FALSE
T-ded4a8,A-0a282f,2024-05-03 00:00:00,2024-05-05 00:00:00,48,urgent,35,5,FALSE
T-fa9585,A-0a282f,2024-10-26 00:00:00,2024-10-26 18:00:00,18,medium,144,4,FALSE
T-134994,A-0a62f5,2023-11-05 00:00:00,2023-11-07 11:00:00,59,high,153,,FALSE
T-fb6fa3,A-0a62f5,2024-11-26 00:00:00,2024-11-26 08:00:00,8,urgent,57,,FALSE
T-0a835d,A-0aaf6e,2023-11-06 00:00:00,2023-11-08 08:00:00,56,low,14,,FALSE
T-3b24c1,A-0aaf6e,2024-06-09 00:00:00,2024-06-11 06:00:00,54,high,151,3,FALSE
T-791dc9,A-0aaf6e,2023-03-29 00:00:00,2023-03-30 20:00:00,44,low,127,,FALSE
T-a3d4db,A-0aaf6e,2023-02-09 00:00:00,2023-02-09 12:00:00,12,medium,38,,FALSE
T-db2c10,A-0aaf6e,2024-10-13 00:00:00,2024-10-15 11:00:00,59,low,47,5,FALSE
T-14733a,A-0b0d6d,2023-05-06 00:00:00,2023-05-06 16:00:00,16,high,155,5,TRUE
T-1760ba,A-0b0d6d,2023-08-03 00:00:00,2023-08-04 12:00:00,36,medium,1,3,FALSE
T-1df716,A-0b0d6d,2024-10-09 00:00:00,2024-10-11 01:00:00,49,medium,145,,FALSE
T-88d5fe,A-0b0d6d,2024-01-14 00:00:00,2024-01-15 17:00:00,41,urgent,59,,FALSE
T-bccf47,A-0b0d6d,2023-05-05 00:00:00,2023-05-05 15:00:00,15,high,92,,FALSE
T-0c9c88,A-0baac2,2024-07-10 00:00:00,2024-07-12 05:00:00,53,high,89,5,FALSE
T-48a7e1,A-0baac2,2024-06-30 00:00:00,2024-07-01 20:00:00,44,low,79,,FALSE
T-7a95e0,A-0baac2,2023-12-16 00:00:00,2023-12-16 07:00:00,7,low,54,,FALSE
T-c248c0,A-0baac2,2024-06-05 00:00:00,2024-06-07 11:00:00,59,high,54,3,FALSE
T-d9cb01,A-0baac2,2024-03-23 00:00:00,2024-03-25 10:00:00,58,urgent,104,,FALSE
T-ebb149,A-0baac2,2024-09-14 00:00:00,2024-09-15 16:00:00,40,high,154,5,FALSE
T-0cf3e3,A-0be015,2023-03-23 00:00:00,2023-03-25 18:00:00,66,medium,53,4,FALSE
T-1d4ad7,A-0be015,2024-01-04 00:00:00,2024-01-06 20:00:00,68,urgent,44,4,FALSE
T-2c6679,A-0be015,2024-07-16 00:00:00,2024-07-18 03:00:00,51,medium,73,5,FALSE
T-2e5ba4,A-0be015,2024-12-05 00:00:00,2024-12-05 14:00:00,14,low,46,4,TRUE
T-37b102,A-0be015,2023-04-02 00:00:00,2023-04-03 00:00:00,24,high,133,4,FALSE
T-b0f248,A-0be015,2024-11-26 00:00:00,2024-11-27 22:00:00,46,high,122,,FALSE
T-f14a3d,A-0be015,2023-04-13 00:00:00,2023-04-13 13:00:00,13,urgent,123,,FALSE
T-22968c,A-0cc442,2023-05-23 00:00:00,2023-05-24 07:00:00,31,low,21,,FALSE
T-7ff36c,A-0cc442,2023-04-28 00:00:00,2023-04-28 22:00:00,22,medium,11,,FALSE
T-bf29da,A-0cc442,2024-04-29 00:00:00,2024-05-01 10:00:00,58,urgent,110,3,FALSE
T-04c2d4,A-0dbdc6,2023-08-15 00:00:00,2023-08-16 13:00:00,37,low,86,,FALSE
T-391128,A-0dbdc6,2023-09-11 00:00:00,2023-09-13 22:00:00,70,medium,92,,FALSE
T-687ec1,A-0dbdc6,2024-10-10 00:00:00,2024-10-12 12:00:00,60,high,65,5,FALSE
T-74e1b9,A-0dbdc6,2023-09-06 00:00:00,2023-09-06 21:00:00,21,low,138,,FALSE
T-0648e6,A-0e966d,2024-12-01 00:00:00,2024-12-01 12:00:00,12,low,113,4,FALSE
T-2748bc,A-0e966d,2024-01-16 00:00:00,2024-01-18 13:00:00,61,high,73,,FALSE
T-f97a8b,A-0e966d,2024-09-11 00:00:00,2024-09-11 22:00:00,22,medium,100,5,TRUE
T-d5e12f,A-0f3e88,2024-10-17 00:00:00,2024-10-17 19:00:00,19,urgent,93,4,FALSE
T-e771c5,A-0f3e88,2024-07-28 00:00:00,2024-07-30 17:00:00,65,low,4,,FALSE
T-eeae26,A-0f3e88,2023-11-24 00:00:00,2023-11-26 12:00:00,60,low,104,5,FALSE
T-4220fc,A-0f6450,2023-06-06 00:00:00,2023-06-07 03:00:00,27,low,70,3,TRUE
T-484790,A-0f6450,2023-12-13 00:00:00,2023-12-14 18:00:00,42,urgent,102,,FALSE
T-762eff,A-0f6450,2023-04-24 00:00:00,2023-04-25 04:00:00,28,low,46,3,FALSE
T-777bf4,A-0f6450,2023-01-20 00:00:00,2023-01-20 02:00:00,2,low,54,5,FALSE
T-7a57cf,A-0f6450,2023-08-21 00:00:00,2023-08-22 07:00:00,31,medium,59,5,FALSE
T-a4d85c,A-0f6450,2023-04-03 00:00:00,2023-04-05 08:00:00,56,medium,37,3,FALSE
T-d0e9c2,A-0f6450,2024-02-27 00:00:00,2024-02-28 12:00:00,36,medium,112,,FALSE
T-e45dfb,A-0f6450,2023-04-08 00:00:00,2023-04-08 16:00:00,16,medium,173,4,FALSE
T-37d585,A-0f7d77,2023-11-23 00:00:00,2023-11-25 04:00:00,52,high,138,5,FALSE
T-5fb9f7,A-0f7d77,2023-01-06 00:00:00,2023-01-06 19:00:00,19,medium,88,,FALSE
T-6e55e5,A-0f7d77,2023-06-05 00:00:00,2023-06-06 03:00:00,27,high,48,5,FALSE
T-8ab508,A-0f7d77,2023-07-27 00:00:00,2023-07-27 13:00:00,13,high,82,,FALSE
T-f79198,A-0f7d77,2023-11-30 00:00:00,2023-12-01 01:00:00,25,medium,17,,FALSE
T-17884a,A-104f1a,2023-08-07 00:00:00,2023-08-08 10:00:00,34,medium,38,3,FALSE
T-30b4eb,A-104f1a,2024-12-30 00:00:00,2024-12-30 12:00:00,12,medium,37,,FALSE
T-57fa50,A-104f1a,2023-05-25 00:00:00,2023-05-27 05:00:00,53,high,118,5,FALSE
T-7772d1,A-104f1a,2024-03-26 00:00:00,2024-03-28 08:00:00,56,low,40,4,FALSE
T-964182,A-104f1a,2024-04-08 00:00:00,2024-04-08 11:00:00,11,medium,19,3,TRUE
T-c53a87,A-10b8da,2023-02-19 00:00:00,2023-02-20 13:00:00,37,high,105,,FALSE
T-cfb0cf,A-10b8da,2023-04-18 00:00:00,2023-04-19 09:00:00,33,low,77,3,FALSE
T-f7e86b,A-10b8da,2023-09-23 00:00:00,2023-09-24 00:00:00,24,high,32,4,FALSE
T-27d929,A-10b8f2,2023-11-10 00:00:00,2023-11-12 11:00:00,59,urgent,26,5,FALSE
T-2873de,A-10b8f2,2024-01-31 00:00:00,2024-01-31 12:00:00,12,low,59,3,FALSE
T-79975c,A-10b8f2,2023-12-26 00:00:00,2023-12-28 20:00:00,68,low,116,5,FALSE
T-6a8698,A-117171,2023-09-14 00:00:00,2023-09-14 13:00:00,13,medium,59,3,FALSE
T-6d8b81,A-117171,2023-11-04 00:00:00,2023-11-05 20:00:00,44,high,52,,TRUE
T-7098db,A-117171,2024-12-12 00:00:00,2024-12-14 01:00:00,49,low,95,4,FALSE
T-83656f,A-117171,2023-12-19 00:00:00,2023-12-20 10:00:00,34,low,33,4,FALSE
T-b4bec0,A-117171,2023-08-05 00:00:00,2023-08-06 09:00:00,33,urgent,137,,FALSE
T-e496a8,A-117171,2024-08-22 00:00:00,2024-08-22 22:00:00,22,medium,34,,FALSE
T-0e3932,A-118d55,2024-12-09 00:00:00,2024-12-09 11:00:00,11,medium,32,4,FALSE
T-2a5b67,A-118d55,2023-07-24 00:00:00,2023-07-25 13:00:00,37,medium,47,5,FALSE
T-4ad95c,A-118d55,2024-12-03 00:00:00,2024-12-05 02:00:00,50,medium,122,,FALSE
T-72f058,A-118d55,2023-02-16 00:00:00,2023-02-16 09:00:00,9,high,82,,FALSE
T-f68dde,A-118d55,2024-09-08 00:00:00,2024-09-08 14:00:00,14,medium,1,4,FALSE
T-763f2d,A-118f1c,2023-06-22 00:00:00,2023-06-24 16:00:00,64,medium,141,3,FALSE
T-4d5634,A-13466a,2024-11-04 00:00:00,2024-11-06 23:00:00,71,medium,76,3,TRUE
T-9b7b66,A-13466a,2023-06-24 00:00:00,2023-06-24 21:00:00,21,high,77,5,FALSE
T-ac9630,A-13466a,2023-11-11 00:00:00,2023-11-11 05:00:00,5,high,130,5,FALSE
T-16818f,A-139c3b,2024-12-15 00:00:00,2024-12-16 18:00:00,42,medium,131,4,FALSE
T-3a3a53,A-139c3b,2024-12-18 00:00:00,2024-12-19 02:00:00,26,medium,89,5,FALSE
T-474619,A-139c3b,2023-10-08 00:00:00,2023-10-08 03:00:00,3,medium,88,5,FALSE
T-731aca,A-139c3b,2023-12-29 00:00:00,2023-12-29 14:00:00,14,high,36,,FALSE
T-8be779,A-139c3b,2023-10-26 00:00:00,2023-10-26 21:00:00,21,low,5,,FALSE
T-a819c9,A-139c3b,2023-07-11 00:00:00,2023-07-13 14:00:00,62,urgent,38,,FALSE
T-b1c40d,A-139c3b,2023-04-05 00:00:00,2023-04-05 13:00:00,13,low,37,4,FALSE
T-dc9ef3,A-139c3b,2023-06-21 00:00:00,2023-06-23 16:00:00,64,urgent,63,,FALSE
T-f86b35,A-139c3b,2024-09-13 00:00:00,2024-09-13 11:00:00,11,urgent,108,,FALSE
T-4adbf1,A-149a69,2023-03-22 00:00:00,2023-03-24 05:00:00,53,urgent,169,,FALSE
T-742d41,A-149a69,2024-09-27 00:00:00,2024-09-27 09:00:00,9,medium,63,5,FALSE
T-7af423,A-149a69,2024-08-28 00:00:00,2024-08-28 09:00:00,9,medium,172,4,FALSE
T-c127ef,A-149a69,2024-10-01 00:00:00,2024-10-02 01:00:00,25,high,170,4,FALSE
T-c39af4,A-149a69,2024-10-19 00:00:00,2024-10-21 17:00:00,65,low,59,,FALSE
T-c50b96,A-149a69,2023-03-02 00:00:00,2023-03-03 07:00:00,31,urgent,141,,FALSE
T-da63ee,A-149a69,2023-01-30 00:00:00,2023-01-31 09:00:00,33,high,79,5,FALSE
T-e1d305,A-149a69,2023-06-16 00:00:00,2023-06-17 22:00:00,46,urgent,114,3,FALSE
T-508c6e,A-151c9a,2024-06-01 00:00:00,2024-06-01 23:00:00,23,medium,176,3,FALSE
T-f35250,A-151c9a,2024-05-31 00:00:00,2024-06-01 15:00:00,39,high,137,4,FALSE
T-86268f,A-157070,2024-12-04 00:00:00,2024-12-06 12:00:00,60,low,176,3,FALSE
T-98a84a,A-157070,2023-12-20 00:00:00,2023-12-21 18:00:00,42,low,26,,FALSE
T-d82bc4,A-157070,2023-08-25 00:00:00,2023-08-26 01:00:00,25,urgent,152,,TRUE
T-00f542,A-158f4e,2024-04-18 00:00:00,2024-04-19 00:00:00,24,medium,83,5,FALSE
T-2b4423,A-158f4e,2023-12-07 00:00:00,2023-12-07 11:00:00,11,high,99,,FALSE
T-58506b,A-158f4e,2023-12-14 00:00:00,2023-12-14 13:00:00,13,urgent,124,4,FALSE
T-59d842,A-158f4e,2024-08-05 00:00:00,2024-08-07 19:00:00,67,medium,168,4,FALSE
T-a5b987,A-158f4e,2023-01-27 00:00:00,2023-01-27 23:00:00,23,high,156,,FALSE
T-1018b1,A-1619f8,2024-02-12 00:00:00,2024-02-12 20:00:00,20,medium,89,,FALSE
T-4486bf,A-1619f8,2024-11-11 00:00:00,2024-11-12 23:00:00,47,urgent,152,,FALSE
T-d84002,A-1619f8,2023-02-16 00:00:00,2023-02-18 11:00:00,59,low,2,5,FALSE
T-133e5c,A-17939a,2023-08-16 00:00:00,2023-08-18 23:00:00,71,urgent,85,4,FALSE
T-202a0d,A-17939a,2023-12-30 00:00:00,2023-12-31 10:00:00,34,medium,7,,FALSE
T-42c4fb,A-17939a,2023-08-18 00:00:00,2023-08-18 08:00:00,8,urgent,50,,FALSE
T-4616b9,A-17939a,2024-02-06 00:00:00,2024-02-08 18:00:00,66,high,105,5,FALSE
T-93c07c,A-17939a,2024-08-01 00:00:00,2024-08-01 08:00:00,8,low,152,4,FALSE
T-cce7ba,A-17939a,2024-08-14 00:00:00,2024-08-16 05:00:00,53,urgent,150,,FALSE
T-cd3896,A-17939a,2024-05-14 00:00:00,2024-05-15 02:00:00,26,high,35,5,FALSE
T-6b1bf1,A-180abf,2024-01-20 00:00:00,2024-01-21 10:00:00,34,medium,5,3,FALSE
T-820846,A-180abf,2024-07-30 00:00:00,2024-07-30 10:00:00,10,medium,44,,FALSE
T-cff159,A-180abf,2023-08-15 00:00:00,2023-08-17 17:00:00,65,medium,138,,FALSE
T-4a0f02,A-186a44,2023-01-21 00:00:00,2023-01-23 03:00:00,51,urgent,61,,FALSE
T-4f5aab,A-186a44,2024-06-08 00:00:00,2024-06-08 19:00:00,19,high,35,4,FALSE
T-96ccc2,A-186a44,2024-12-30 00:00:00,2024-12-31 00:00:00,24,high,146,4,FALSE
T-a5e537,A-186a44,2023-04-22 00:00:00,2023-04-24 14:00:00,62,high,176,3,FALSE
T-ac71c9,A-186a44,2024-01-18 00:00:00,2024-01-18 08:00:00,8,high,155,3,FALSE
T-ae3a16,A-186a44,2024-06-19 00:00:00,2024-06-21 03:00:00,51,low,97,,FALSE
T-f29fb2,A-186a44,2024-03-30 00:00:00,2024-04-01 05:00:00,53,medium,103,,FALSE
T-32884f,A-18793f,2023-08-09 00:00:00,2023-08-10 20:00:00,44,high,5,5,FALSE
T-36a591,A-18793f,2023-12-09 00:00:00,2023-12-10 21:00:00,45,low,99,3,FALSE
T-a2dd12,A-18793f,2023-10-01 00:00:00,2023-10-02 09:00:00,33,high,168,4,FALSE
T-aac2ca,A-18793f,2023-03-04 00:00:00,2023-03-05 14:00:00,38,low,155,4,FALSE
T-d5f42b,A-18793f,2023-10-11 00:00:00,2023-10-13 18:00:00,66,low,81,3,FALSE
T-069c43,A-1986ca,2024-04-08 00:00:00,2024-04-10 02:00:00,50,high,53,3,FALSE
T-32cb13,A-1986ca,2023-06-14 00:00:00,2023-06-14 15:00:00,15,urgent,146,4,FALSE
T-526bb5,A-1986ca,2024-08-10 00:00:00,2024-08-11 17:00:00,41,high,135,,FALSE
T-c0b6ed,A-1986ca,2024-07-27 00:00:00,2024-07-29 07:00:00,55,urgent,30,3,FALSE
T-e9516d,A-1986ca,2023-04-03 00:00:00,2023-04-04 00:00:00,24,urgent,107,,FALSE
T-ec5618,A-1986ca,2024-09-07 00:00:00,2024-09-09 14:00:00,62,low,175,3,FALSE
T-f3737d,A-1986ca,2023-05-01 00:00:00,2023-05-01 09:00:00,9,low,100,4,FALSE
T-118f13,A-19b2c8,2024-09-05 00:00:00,2024-09-06 08:00:00,32,high,109,5,FALSE
T-675d69,A-19b2c8,2023-02-03 00:00:00,2023-02-04 08:00:00,32,medium,132,4,FALSE
T-c8afc4,A-19b2c8,2023-11-28 00:00:00,2023-11-29 00:00:00,24,medium,29,5,FALSE
T-316da7,A-1ac5e0,2024-01-15 00:00:00,2024-01-16 11:00:00,35,high,44,4,FALSE
T-4291f4,A-1ac5e0,2024-05-21 00:00:00,2024-05-22 18:00:00,42,high,136,3,FALSE
T-7bb8d5,A-1ac5e0,2024-09-03 00:00:00,2024-09-04 09:00:00,33,medium,50,4,FALSE
T-a7ddd2,A-1ac5e0,2023-03-29 00:00:00,2023-03-31 12:00:00,60,high,169,,FALSE
T-b9e44a,A-1ac5e0,2023-06-10 00:00:00,2023-06-12 14:00:00,62,medium,13,,FALSE
T-cd1aee,A-1ac5e0,2023-08-05 00:00:00,2023-08-05 06:00:00,6,high,99,3,FALSE
T-e8ac58,A-1ac5e0,2023-01-10 00:00:00,2023-01-11 21:00:00,45,medium,21,5,FALSE
T-22710d,A-1b707d,2024-04-19 00:00:00,2024-04-21 03:00:00,51,medium,53,,FALSE
T-a6cf94,A-1b707d,2024-10-18 00:00:00,2024-10-19 08:00:00,32,medium,160,,FALSE
T-ffdef9,A-1b707d,2023-09-17 00:00:00,2023-09-18 21:00:00,45,low,13,,FALSE
T-1dd5b9,A-1b7577,2023-08-08 00:00:00,2023-08-08 02:00:00,2,high,74,,FALSE
T-3b516f,A-1b7577,2023-05-22 00:00:00,2023-05-22 19:00:00,19,urgent,167,5,FALSE
T-710a02,A-1b7577,2024-05-31 00:00:00,2024-05-31 10:00:00,10,medium,37,3,FALSE
T-897033,A-1b7577,2023-08-07 00:00:00,2023-08-09 15:00:00,63,urgent,157,3,FALSE
T-9b4be2,A-1b7577,2024-04-08 00:00:00,2024-04-09 18:00:00,42,low,112,5,FALSE
T-533b28,A-1b9609,2024-10-22 00:00:00,2024-10-24 17:00:00,65,high,26,,FALSE
T-9f53ca,A-1b9609,2024-01-23 00:00:00,2024-01-24 05:00:00,29,high,157,,FALSE
T-d4805c,A-1b9609,2023-06-22 00:00:00,2023-06-22 16:00:00,16,low,42,,FALSE
T-f0aca7,A-1b9609,2024-04-22 00:00:00,2024-04-24 14:00:00,62,urgent,74,3,FALSE
T-a617b9,A-1d5444,2024-06-01 00:00:00,2024-06-03 07:00:00,55,high,29,4,FALSE
T-cdfd31,A-1d5444,2024-12-11 00:00:00,2024-12-11 05:00:00,5,high,96,,FALSE
T-20065b,A-1e1b80,2023-05-14 00:00:00,2023-05-16 09:00:00,57,high,54,4,FALSE
T-496c6b,A-1e1b80,2024-08-23 00:00:00,2024-08-25 21:00:00,69,low,150,3,FALSE
T-6511fb,A-1e1b80,2023-05-25 00:00:00,2023-05-26 07:00:00,31,high,32,3,FALSE
T-688401,A-1e1b80,2024-03-30 00:00:00,2024-03-31 10:00:00,34,high,94,3,FALSE
T-c4a1cf,A-1e1b80,2024-05-16 00:00:00,2024-05-17 19:00:00,43,urgent,59,3,FALSE
T-ef33cf,A-1e1b80,2024-01-26 00:00:00,2024-01-27 00:00:00,24,medium,16,,FALSE
T-113483,A-1e50e0,2024-10-29 00:00:00,2024-10-29 22:00:00,22,urgent,116,,FALSE
T-7b7a5a,A-1e50e0,2024-10-02 00:00:00,2024-10-02 19:00:00,19,high,170,5,TRUE
T-279c10,A-1e6fc3,2023-07-09 00:00:00,2023-07-10 09:00:00,33,high,149,,FALSE
T-3d0cfa,A-1e6fc3,2023-04-15 00:00:00,2023-04-15 23:00:00,23,urgent,50,3,FALSE
T-45e6da,A-1e6fc3,2024-03-08 00:00:00,2024-03-09 09:00:00,33,low,120,3,FALSE
T-8402a1,A-1e6fc3,2023-04-25 00:00:00,2023-04-25 08:00:00,8,low,122,,FALSE
T-da0863,A-1e6fc3,2023-12-30 00:00:00,2023-12-30 22:00:00,22,high,2,5,FALSE
T-464084,A-1f0636,2024-04-27 00:00:00,2024-04-29 12:00:00,60,high,82,4,FALSE
T-c2f40f,A-1f0636,2024-08-22 00:00:00,2024-08-22 17:00:00,17,high,68,3,FALSE
